"dep";"sexe";"jour";"hosp";"rea";"rad";"dc"
"31";"0";2020-03-18;11;5;11;0
"31";"1";2020-03-18;4;4;4;0
"31";"2";2020-03-18;7;1;7;0
"32";"0";2020-03-18;0;1;0;0
"32";"1";2020-03-18;0;1;0;0
"32";"2";2020-03-18;0;0;0;0
"33";"0";2020-03-18;3;4;3;1
"33";"1";2020-03-18;1;3;1;0
"33";"2";2020-03-18;2;1;2;1
"34";"0";2020-03-18;18;15;18;2
"34";"1";2020-03-18;9;7;9;1
"34";"2";2020-03-18;9;7;9;1
"35";"0";2020-03-18;0;3;0;0
"35";"1";2020-03-18;0;2;0;0
"35";"2";2020-03-18;0;1;0;0
"36";"0";2020-03-18;0;0;0;0
"36";"1";2020-03-18;0;0;0;0
"36";"2";2020-03-18;0;0;0;0
"37";"0";2020-03-18;0;1;0;0
"37";"1";2020-03-18;0;1;0;0
"37";"2";2020-03-18;0;0;0;0
"38";"0";2020-03-18;0;2;0;1
"38";"1";2020-03-18;0;1;0;1
"38";"2";2020-03-18;0;1;0;0
"39";"0";2020-03-18;1;1;1;0
"39";"1";2020-03-18;1;0;1;0
"39";"2";2020-03-18;0;1;0;0
"40";"0";2020-03-18;0;0;0;0
"40";"1";2020-03-18;0;0;0;0
"40";"2";2020-03-18;0;0;0;0
"41";"0";2020-03-18;0;0;0;0
"41";"1";2020-03-18;0;0;0;0
"41";"2";2020-03-18;0;0;0;0
"42";"0";2020-03-18;3;10;3;1
"42";"1";2020-03-18;2;9;2;1
"42";"2";2020-03-18;1;1;1;0
"43";"0";2020-03-18;5;1;5;0
"43";"1";2020-03-18;2;1;2;0
"43";"2";2020-03-18;3;0;3;0
"44";"0";2020-03-18;7;3;7;1
"44";"1";2020-03-18;3;3;3;0
"44";"2";2020-03-18;4;0;4;1
"45";"0";2020-03-18;0;1;0;0
"45";"1";2020-03-18;0;1;0;0
"45";"2";2020-03-18;0;0;0;0
"46";"0";2020-03-18;1;0;1;0
"46";"1";2020-03-18;0;0;0;0
"46";"2";2020-03-18;1;0;1;0
"47";"0";2020-03-18;1;4;1;0
"47";"1";2020-03-18;1;4;1;0
"47";"2";2020-03-18;0;0;0;0
"48";"0";2020-03-18;0;0;0;0
"48";"1";2020-03-18;0;0;0;0
"48";"2";2020-03-18;0;0;0;0
"49";"0";2020-03-18;26;1;26;0
"49";"1";2020-03-18;17;1;17;0
"49";"2";2020-03-18;9;0;9;0
"50";"0";2020-03-18;1;0;1;0
"50";"1";2020-03-18;0;0;0;0
"50";"2";2020-03-18;1;0;1;0
"51";"0";2020-03-18;6;7;6;1
"51";"1";2020-03-18;2;4;2;1
"51";"2";2020-03-18;4;3;4;0
"52";"0";2020-03-18;0;0;0;1
"52";"1";2020-03-18;0;0;0;0
"52";"2";2020-03-18;0;0;0;1
"53";"0";2020-03-18;2;0;2;0
"53";"1";2020-03-18;1;0;1;0
"53";"2";2020-03-18;1;0;1;0
"54";"0";2020-03-18;1;19;1;5
"54";"1";2020-03-18;0;13;0;2
"54";"2";2020-03-18;1;5;1;3
"55";"0";2020-03-18;0;3;0;0
"55";"1";2020-03-18;0;1;0;0
"55";"2";2020-03-18;0;2;0;0
"56";"0";2020-03-18;63;14;63;7
"56";"1";2020-03-18;28;10;28;5
"56";"2";2020-03-18;35;4;35;2
"57";"0";2020-03-18;11;34;11;16
"57";"1";2020-03-18;6;26;6;7
"57";"2";2020-03-18;5;8;5;9
"58";"0";2020-03-18;0;0;0;0
"58";"1";2020-03-18;0;0;0;0
"58";"2";2020-03-18;0;0;0;0
"59";"0";2020-03-18;16;26;16;3
"59";"1";2020-03-18;10;19;10;2
"59";"2";2020-03-18;6;7;6;1
"60";"0";2020-03-18;18;22;18;6
"60";"1";2020-03-18;11;16;11;3
"60";"2";2020-03-18;7;6;7;3
"61";"0";2020-03-18;2;0;2;0
"61";"1";2020-03-18;1;0;1;0
"61";"2";2020-03-18;1;0;1;0
"62";"0";2020-03-18;16;9;16;0
"62";"1";2020-03-18;12;6;12;0
"62";"2";2020-03-18;4;3;4;0
"63";"0";2020-03-18;3;2;3;0
"63";"1";2020-03-18;2;2;2;0
"63";"2";2020-03-18;1;0;1;0
"64";"0";2020-03-18;0;0;0;0
"64";"1";2020-03-18;0;0;0;0
"64";"2";2020-03-18;0;0;0;0
"65";"0";2020-03-18;0;0;0;0
"65";"1";2020-03-18;0;0;0;0
"65";"2";2020-03-18;0;0;0;0
"66";"0";2020-03-18;1;5;1;0
"66";"1";2020-03-18;0;4;0;0
"66";"2";2020-03-18;1;1;1;0
"67";"0";2020-03-18;4;58;4;15
"67";"1";2020-03-18;3;37;3;7
"67";"2";2020-03-18;1;21;1;8
"68";"0";2020-03-18;116;77;116;74
"68";"1";2020-03-18;67;50;67;38
"68";"2";2020-03-18;47;27;47;35
"69";"0";2020-03-18;10;8;10;0
"69";"1";2020-03-18;4;1;4;0
"69";"2";2020-03-18;6;5;6;0
"70";"0";2020-03-18;2;4;2;0
"70";"1";2020-03-18;0;2;0;0
"70";"2";2020-03-18;2;2;2;0
"71";"0";2020-03-18;4;0;4;5
"71";"1";2020-03-18;2;0;2;3
"71";"2";2020-03-18;2;0;2;2
"72";"0";2020-03-18;1;0;1;0
"72";"1";2020-03-18;0;0;0;0
"72";"2";2020-03-18;1;0;1;0
"73";"0";2020-03-18;3;0;3;0
"73";"1";2020-03-18;2;0;2;0
"73";"2";2020-03-18;1;0;1;0
"74";"0";2020-03-18;43;8;43;5
"74";"1";2020-03-18;24;5;24;2
"74";"2";2020-03-18;18;0;18;3
"75";"0";2020-03-18;40;105;40;14
"75";"1";2020-03-18;22;70;22;10
"75";"2";2020-03-18;18;35;18;4
"76";"0";2020-03-18;3;3;3;3
"76";"1";2020-03-18;1;2;1;3
"76";"2";2020-03-18;2;1;2;0
"77";"0";2020-03-18;10;13;10;0
"77";"1";2020-03-18;6;12;6;0
"77";"2";2020-03-18;4;1;4;0
"78";"0";2020-03-18;5;18;5;5
"78";"1";2020-03-18;2;11;2;4
"78";"2";2020-03-18;3;7;3;1
"79";"0";2020-03-18;2;1;2;0
"79";"1";2020-03-18;1;1;1;0
"79";"2";2020-03-18;1;0;1;0
"80";"0";2020-03-18;9;20;9;1
"80";"1";2020-03-18;5;12;5;0
"80";"2";2020-03-18;4;8;4;1
"81";"0";2020-03-18;2;0;2;0
"81";"1";2020-03-18;2;0;2;0
"81";"2";2020-03-18;0;0;0;0
"82";"0";2020-03-18;0;0;0;1
"82";"1";2020-03-18;0;0;0;1
"82";"2";2020-03-18;0;0;0;0
"83";"0";2020-03-18;78;7;78;0
"83";"1";2020-03-18;39;6;39;0
"83";"2";2020-03-18;39;1;39;0
"84";"0";2020-03-18;7;3;7;1
"84";"1";2020-03-18;6;2;6;0
"84";"2";2020-03-18;1;1;1;1
"85";"0";2020-03-18;0;0;0;0
"85";"1";2020-03-18;0;0;0;0
"85";"2";2020-03-18;0;0;0;0
"86";"0";2020-03-18;0;0;0;1
"86";"1";2020-03-18;0;0;0;0
"86";"2";2020-03-18;0;0;0;1
"87";"0";2020-03-18;2;0;2;0
"87";"1";2020-03-18;0;0;0;0
"87";"2";2020-03-18;2;0;2;0
"88";"0";2020-03-18;7;6;7;8
"88";"1";2020-03-18;2;5;2;4
"88";"2";2020-03-18;5;1;5;4
"89";"0";2020-03-18;1;0;1;0
"89";"1";2020-03-18;1;0;1;0
"89";"2";2020-03-18;0;0;0;0
"90";"0";2020-03-18;0;9;0;0
"90";"1";2020-03-18;0;6;0;0
"90";"2";2020-03-18;0;3;0;0
"91";"0";2020-03-18;0;16;0;1
"91";"1";2020-03-18;0;11;0;0
"91";"2";2020-03-18;0;5;0;1
"92";"0";2020-03-18;22;48;22;4
"92";"1";2020-03-18;12;35;12;4
"92";"2";2020-03-18;10;13;10;0
"93";"0";2020-03-18;15;33;15;5
"93";"1";2020-03-18;9;21;9;3
"93";"2";2020-03-18;6;12;6;2
"94";"0";2020-03-18;16;32;16;5
"94";"1";2020-03-18;15;24;15;5
"94";"2";2020-03-18;1;8;1;0
"95";"0";2020-03-18;21;29;21;2
"95";"1";2020-03-18;8;23;8;2
"95";"2";2020-03-18;12;6;12;0
"971";"0";2020-03-18;0;0;0;0
"971";"1";2020-03-18;0;0;0;0
"971";"2";2020-03-18;0;0;0;0
"972";"0";2020-03-18;0;5;0;1
"972";"1";2020-03-18;0;3;0;0
"972";"2";2020-03-18;0;2;0;1
"973";"0";2020-03-18;0;0;0;0
"973";"1";2020-03-18;0;0;0;0
"973";"2";2020-03-18;0;0;0;0
"974";"0";2020-03-18;0;2;0;0
"974";"1";2020-03-18;0;2;0;0
"974";"2";2020-03-18;0;0;0;0
"976";"0";2020-03-18;0;0;0;0
"976";"1";2020-03-18;0;0;0;0
"976";"2";2020-03-18;0;0;0;0
"01";"0";2020-03-19;1;0;1;0
"01";"1";2020-03-19;1;0;1;0
"01";"2";2020-03-19;0;0;0;0
"02";"0";2020-03-19;33;15;33;19
"02";"1";2020-03-19;16;7;16;13
"02";"2";2020-03-19;17;8;17;6
"03";"0";2020-03-19;7;0;7;0
"03";"1";2020-03-19;2;0;2;0
"03";"2";2020-03-19;5;0;5;0
"04";"0";2020-03-19;3;1;3;0
"04";"1";2020-03-19;1;1;1;0
"04";"2";2020-03-19;2;0;2;0
"05";"0";2020-03-19;10;1;10;0
"05";"1";2020-03-19;8;0;8;0
"05";"2";2020-03-19;2;1;2;0
"06";"0";2020-03-19;48;5;48;2
"06";"1";2020-03-19;19;4;19;0
"06";"2";2020-03-19;29;0;29;2
"07";"0";2020-03-19;0;2;0;0
"07";"1";2020-03-19;0;1;0;0
"07";"2";2020-03-19;0;0;0;0
"08";"0";2020-03-19;1;0;1;0
"08";"1";2020-03-19;1;0;1;0
"08";"2";2020-03-19;0;0;0;0
"09";"0";2020-03-19;2;1;2;0
"09";"1";2020-03-19;1;0;1;0
"09";"2";2020-03-19;1;1;1;0
"10";"0";2020-03-19;0;1;0;0
"10";"1";2020-03-19;0;0;0;0
"10";"2";2020-03-19;0;1;0;0
"11";"0";2020-03-19;8;11;8;6
"11";"1";2020-03-19;2;7;2;3
"11";"2";2020-03-19;6;4;6;3
"12";"0";2020-03-19;2;2;2;1
"12";"1";2020-03-19;0;1;0;1
"12";"2";2020-03-19;2;1;2;0
"13";"0";2020-03-19;97;20;97;4
"13";"1";2020-03-19;54;11;54;2
"13";"2";2020-03-19;42;9;42;2
"14";"0";2020-03-19;1;1;1;0
"14";"1";2020-03-19;0;0;0;0
"14";"2";2020-03-19;1;1;1;0
"15";"0";2020-03-19;0;1;0;0
"15";"1";2020-03-19;0;1;0;0
"15";"2";2020-03-19;0;0;0;0
"16";"0";2020-03-19;2;0;2;0
"16";"1";2020-03-19;1;0;1;0
"16";"2";2020-03-19;1;0;1;0
"17";"0";2020-03-19;2;2;2;0
"17";"1";2020-03-19;2;2;2;0
"17";"2";2020-03-19;0;0;0;0
"18";"0";2020-03-19;0;0;0;0
"18";"1";2020-03-19;0;0;0;0
"18";"2";2020-03-19;0;0;0;0
"19";"0";2020-03-19;0;0;0;0
"19";"1";2020-03-19;0;0;0;0
"19";"2";2020-03-19;0;0;0;0
"21";"0";2020-03-19;28;19;28;2
"21";"1";2020-03-19;9;13;9;0
"21";"2";2020-03-19;18;6;18;2
"22";"0";2020-03-19;3;1;3;0
"22";"1";2020-03-19;1;1;1;0
"22";"2";2020-03-19;2;0;2;0
"23";"0";2020-03-19;0;0;0;0
"23";"1";2020-03-19;0;0;0;0
"23";"2";2020-03-19;0;0;0;0
"24";"0";2020-03-19;1;1;1;0
"24";"1";2020-03-19;1;1;1;0
"24";"2";2020-03-19;0;0;0;0
"25";"0";2020-03-19;10;11;10;2
"25";"1";2020-03-19;2;10;2;1
"25";"2";2020-03-19;8;1;8;1
"26";"0";2020-03-19;2;8;2;0
"26";"1";2020-03-19;1;5;1;0
"26";"2";2020-03-19;1;3;1;0
"27";"0";2020-03-19;0;1;0;1
"27";"1";2020-03-19;0;1;0;1
"27";"2";2020-03-19;0;0;0;0
"28";"0";2020-03-19;0;4;0;1
"28";"1";2020-03-19;0;2;0;1
"28";"2";2020-03-19;0;2;0;0
"29";"0";2020-03-19;6;5;6;0
"29";"1";2020-03-19;3;4;3;0
"29";"2";2020-03-19;3;1;3;0
"2A";"0";2020-03-19;1;0;1;1
"2A";"1";2020-03-19;1;0;1;0
"2A";"2";2020-03-19;0;0;0;1
"2B";"0";2020-03-19;0;0;0;0
"2B";"1";2020-03-19;0;0;0;0
"2B";"2";2020-03-19;0;0;0;0
"30";"0";2020-03-19;7;1;7;1
"30";"1";2020-03-19;2;1;2;1
"30";"2";2020-03-19;5;0;5;0
"31";"0";2020-03-19;13;6;13;1
"31";"1";2020-03-19;5;5;5;0
"31";"2";2020-03-19;8;1;8;1
"32";"0";2020-03-19;0;3;0;0
"32";"1";2020-03-19;0;3;0;0
"32";"2";2020-03-19;0;0;0;0
"33";"0";2020-03-19;7;5;7;2
"33";"1";2020-03-19;3;4;3;1
"33";"2";2020-03-19;4;1;4;1
"34";"0";2020-03-19;21;18;21;4
"34";"1";2020-03-19;11;11;11;2
"34";"2";2020-03-19;10;7;10;2
"35";"0";2020-03-19;15;8;15;0
"35";"1";2020-03-19;6;6;6;0
"35";"2";2020-03-19;9;2;9;0
"36";"0";2020-03-19;0;0;0;0
"36";"1";2020-03-19;0;0;0;0
"36";"2";2020-03-19;0;0;0;0
"37";"0";2020-03-19;0;3;0;0
"37";"1";2020-03-19;0;2;0;0
"37";"2";2020-03-19;0;1;0;0
"38";"0";2020-03-19;3;2;3;1
"38";"1";2020-03-19;1;1;1;1
"38";"2";2020-03-19;2;1;2;0
"39";"0";2020-03-19;1;1;1;0
"39";"1";2020-03-19;1;0;1;0
"39";"2";2020-03-19;0;1;0;0
"40";"0";2020-03-19;0;0;0;0
"40";"1";2020-03-19;0;0;0;0
"40";"2";2020-03-19;0;0;0;0
"41";"0";2020-03-19;1;0;1;0
"41";"1";2020-03-19;1;0;1;0
"41";"2";2020-03-19;0;0;0;0
"42";"0";2020-03-19;8;18;8;3
"42";"1";2020-03-19;6;16;6;3
"42";"2";2020-03-19;2;2;2;0
"43";"0";2020-03-19;5;1;5;0
"43";"1";2020-03-19;2;1;2;0
"43";"2";2020-03-19;3;0;3;0
"44";"0";2020-03-19;9;6;9;1
"44";"1";2020-03-19;5;4;5;0
"44";"2";2020-03-19;4;2;4;1
"45";"0";2020-03-19;0;3;0;0
"45";"1";2020-03-19;0;3;0;0
"45";"2";2020-03-19;0;0;0;0
"46";"0";2020-03-19;1;0;1;0
"46";"1";2020-03-19;0;0;0;0
"46";"2";2020-03-19;1;0;1;0
"47";"0";2020-03-19;1;1;1;0
"47";"1";2020-03-19;1;1;1;0
"47";"2";2020-03-19;0;0;0;0
"48";"0";2020-03-19;0;0;0;0
"48";"1";2020-03-19;0;0;0;0
"48";"2";2020-03-19;0;0;0;0
"49";"0";2020-03-19;28;3;28;0
"49";"1";2020-03-19;17;2;17;0
"49";"2";2020-03-19;11;1;11;0
"50";"0";2020-03-19;2;0;2;0
"50";"1";2020-03-19;1;0;1;0
"50";"2";2020-03-19;1;0;1;0
"51";"0";2020-03-19;14;7;14;2
"51";"1";2020-03-19;6;4;6;1
"51";"2";2020-03-19;8;3;8;1
"52";"0";2020-03-19;0;0;0;1
"52";"1";2020-03-19;0;0;0;0
"52";"2";2020-03-19;0;0;0;1
"53";"0";2020-03-19;3;1;3;0
"53";"1";2020-03-19;1;1;1;0
"53";"2";2020-03-19;2;0;2;0
"54";"0";2020-03-19;1;23;1;6
"54";"1";2020-03-19;0;16;0;2
"54";"2";2020-03-19;1;6;1;4
"55";"0";2020-03-19;4;3;4;0
"55";"1";2020-03-19;1;0;1;0
"55";"2";2020-03-19;3;3;3;0
"56";"0";2020-03-19;53;12;53;9
"56";"1";2020-03-19;22;9;22;5
"56";"2";2020-03-19;31;3;31;4
"57";"0";2020-03-19;15;46;15;19
"57";"1";2020-03-19;8;36;8;8
"57";"2";2020-03-19;7;10;7;11
"58";"0";2020-03-19;0;0;0;0
"58";"1";2020-03-19;0;0;0;0
"58";"2";2020-03-19;0;0;0;0
"59";"0";2020-03-19;36;35;36;5
"59";"1";2020-03-19;23;27;23;3
"59";"2";2020-03-19;13;8;13;2
"60";"0";2020-03-19;23;21;23;14
"60";"1";2020-03-19;15;15;15;9
"60";"2";2020-03-19;8;6;8;5
"61";"0";2020-03-19;3;0;3;0
"61";"1";2020-03-19;1;0;1;0
"61";"2";2020-03-19;2;0;2;0
"62";"0";2020-03-19;25;11;25;0
"62";"1";2020-03-19;15;8;15;0
"62";"2";2020-03-19;10;3;10;0
"63";"0";2020-03-19;4;1;4;0
"63";"1";2020-03-19;2;1;2;0
"63";"2";2020-03-19;2;0;2;0
"64";"0";2020-03-19;1;0;1;0
"64";"1";2020-03-19;0;0;0;0
"64";"2";2020-03-19;1;0;1;0
"65";"0";2020-03-19;0;1;0;0
"65";"1";2020-03-19;0;1;0;0
"65";"2";2020-03-19;0;0;0;0
"66";"0";2020-03-19;3;11;3;3
"66";"1";2020-03-19;2;7;2;1
"66";"2";2020-03-19;1;4;1;2
"67";"0";2020-03-19;13;82;13;18
"67";"1";2020-03-19;8;59;8;9
"67";"2";2020-03-19;5;23;5;9
"68";"0";2020-03-19;131;73;131;91
"68";"1";2020-03-19;75;49;75;47
"68";"2";2020-03-19;54;24;54;43
"69";"0";2020-03-19;48;33;48;12
"69";"1";2020-03-19;6;6;6;0
"69";"2";2020-03-19;11;5;11;1
"70";"0";2020-03-19;3;3;3;0
"70";"1";2020-03-19;0;1;0;0
"70";"2";2020-03-19;3;2;3;0
"71";"0";2020-03-19;7;3;7;5
"71";"1";2020-03-19;2;3;2;3
"71";"2";2020-03-19;5;0;5;2
"72";"0";2020-03-19;5;0;5;0
"72";"1";2020-03-19;2;0;2;0
"72";"2";2020-03-19;3;0;3;0
"73";"0";2020-03-19;5;2;5;0
"73";"1";2020-03-19;2;2;2;0
"73";"2";2020-03-19;3;0;3;0
"74";"0";2020-03-19;49;11;49;6
"74";"1";2020-03-19;27;8;27;2
"74";"2";2020-03-19;20;0;20;4
"75";"0";2020-03-19;62;122;62;22
"75";"1";2020-03-19;31;85;31;16
"75";"2";2020-03-19;30;37;30;6
"76";"0";2020-03-19;3;4;3;4
"76";"1";2020-03-19;1;3;1;4
"76";"2";2020-03-19;2;1;2;0
"77";"0";2020-03-19;15;13;15;0
"77";"1";2020-03-19;7;10;7;0
"77";"2";2020-03-19;8;3;8;0
"78";"0";2020-03-19;7;20;7;6
"78";"1";2020-03-19;2;13;2;5
"78";"2";2020-03-19;5;7;5;1
"79";"0";2020-03-19;3;1;3;0
"79";"1";2020-03-19;1;1;1;0
"79";"2";2020-03-19;2;0;2;0
"80";"0";2020-03-19;12;23;12;2
"80";"1";2020-03-19;7;15;7;1
"80";"2";2020-03-19;5;8;5;1
"81";"0";2020-03-19;2;1;2;0
"81";"1";2020-03-19;2;0;2;0
"81";"2";2020-03-19;0;1;0;0
"82";"0";2020-03-19;0;0;0;1
"82";"1";2020-03-19;0;0;0;1
"82";"2";2020-03-19;0;0;0;0
"83";"0";2020-03-19;86;13;86;2
"83";"1";2020-03-19;41;10;41;1
"83";"2";2020-03-19;45;3;45;1
"84";"0";2020-03-19;9;4;9;1
"84";"1";2020-03-19;6;2;6;0
"84";"2";2020-03-19;3;2;3;1
"85";"0";2020-03-19;5;1;5;0
"85";"1";2020-03-19;2;0;2;0
"85";"2";2020-03-19;3;1;3;0
"86";"0";2020-03-19;0;0;0;1
"86";"1";2020-03-19;0;0;0;0
"86";"2";2020-03-19;0;0;0;1
"87";"0";2020-03-19;2;1;2;0
"87";"1";2020-03-19;0;1;0;0
"87";"2";2020-03-19;2;0;2;0
"88";"0";2020-03-19;8;6;8;11
"88";"1";2020-03-19;3;4;3;7
"88";"2";2020-03-19;5;2;5;4
"89";"0";2020-03-19;1;1;1;2
"89";"1";2020-03-19;1;1;1;1
"89";"2";2020-03-19;0;0;0;1
"90";"0";2020-03-19;0;9;0;3
"90";"1";2020-03-19;0;8;0;1
"90";"2";2020-03-19;0;1;0;2
"91";"0";2020-03-19;4;22;4;1
"91";"1";2020-03-19;2;15;2;0
"91";"2";2020-03-19;2;7;2;1
"92";"0";2020-03-19;31;54;31;7
"92";"1";2020-03-19;16;42;16;6
"92";"2";2020-03-19;15;12;15;1
"93";"0";2020-03-19;21;45;21;5
"93";"1";2020-03-19;12;24;12;3
"93";"2";2020-03-19;9;20;9;2
"94";"0";2020-03-19;41;47;41;10
"94";"1";2020-03-19;22;35;22;8
"94";"2";2020-03-19;19;12;19;2
"95";"0";2020-03-19;32;37;32;5
"95";"1";2020-03-19;18;30;18;5
"95";"2";2020-03-19;14;7;14;0
"971";"0";2020-03-19;0;0;0;0
"971";"1";2020-03-19;0;0;0;0
"971";"2";2020-03-19;0;0;0;0
"972";"0";2020-03-19;0;5;0;1
"972";"1";2020-03-19;0;3;0;0
"972";"2";2020-03-19;0;2;0;1
"973";"0";2020-03-19;0;0;0;0
"973";"1";2020-03-19;0;0;0;0
"973";"2";2020-03-19;0;0;0;0
"974";"0";2020-03-19;0;2;0;0
"974";"1";2020-03-19;0;2;0;0
"974";"2";2020-03-19;0;0;0;0
"976";"0";2020-03-19;0;0;0;0
"976";"1";2020-03-19;0;0;0;0
"976";"2";2020-03-19;0;0;0;0
"01";"0";2020-03-20;1;0;1;0
"01";"1";2020-03-20;1;0;1;0
"01";"2";2020-03-20;0;0;0;0
"02";"0";2020-03-20;40;19;40;24
"02";"1";2020-03-20;18;10;18;16
"02";"2";2020-03-20;22;9;22;8
"03";"0";2020-03-20;10;0;10;0
"03";"1";2020-03-20;4;0;4;0
"03";"2";2020-03-20;6;0;6;0
"04";"0";2020-03-20;3;1;3;0
"04";"1";2020-03-20;1;1;1;0
"04";"2";2020-03-20;2;0;2;0
"05";"0";2020-03-20;10;1;10;0
"05";"1";2020-03-20;8;0;8;0
"05";"2";2020-03-20;2;1;2;0
"06";"0";2020-03-20;61;7;61;4
"06";"1";2020-03-20;26;6;26;1
"06";"2";2020-03-20;34;0;34;3
"07";"0";2020-03-20;3;3;3;1
"07";"1";2020-03-20;0;2;0;1
"07";"2";2020-03-20;3;0;3;0
"08";"0";2020-03-20;1;1;1;0
"08";"1";2020-03-20;1;0;1;0
"08";"2";2020-03-20;0;1;0;0
"09";"0";2020-03-20;2;1;2;0
"09";"1";2020-03-20;1;0;1;0
"09";"2";2020-03-20;1;1;1;0
"10";"0";2020-03-20;0;2;0;0
"10";"1";2020-03-20;0;1;0;0
"10";"2";2020-03-20;0;1;0;0
"11";"0";2020-03-20;13;11;13;8
"11";"1";2020-03-20;3;8;3;5
"11";"2";2020-03-20;10;3;10;3
"12";"0";2020-03-20;3;2;3;1
"12";"1";2020-03-20;1;1;1;1
"12";"2";2020-03-20;2;1;2;0
"13";"0";2020-03-20;108;26;108;4
"13";"1";2020-03-20;58;16;58;2
"13";"2";2020-03-20;49;10;49;2
"14";"0";2020-03-20;3;1;3;1
"14";"1";2020-03-20;2;0;2;1
"14";"2";2020-03-20;1;1;1;0
"15";"0";2020-03-20;0;1;0;0
"15";"1";2020-03-20;0;1;0;0
"15";"2";2020-03-20;0;0;0;0
"16";"0";2020-03-20;2;0;2;0
"16";"1";2020-03-20;1;0;1;0
"16";"2";2020-03-20;1;0;1;0
"17";"0";2020-03-20;2;3;2;0
"17";"1";2020-03-20;2;3;2;0
"17";"2";2020-03-20;0;0;0;0
"18";"0";2020-03-20;0;0;0;0
"18";"1";2020-03-20;0;0;0;0
"18";"2";2020-03-20;0;0;0;0
"19";"0";2020-03-20;0;0;0;0
"19";"1";2020-03-20;0;0;0;0
"19";"2";2020-03-20;0;0;0;0
